Filename,Width,Height,Pixels,FileSize_Bytes,FileSize_KB,FileSize_MB,Path
A-new-wave-of-innovation-for-teaching-and-learning.jpg,900,464,417600,225973,220.67,.21,content/posts/technology-trends-in-education/A-new-wave-of-innovation-for-teaching-and-learning.jpg
How-technology-is-shaping-the-future-of-education.jpg,900,475,427500,391742,382.56,.37,content/posts/technology-trends-in-education/How-technology-is-shaping-the-future-of-education.jpg
How-to-start-education-startup.jpg,900,454,408600,186055,181.69,.17,content/posts/technology-trends-in-education/How-to-start-education-startup.jpg
React-recompose.jpg,1200,699,838800,264127,257.93,.25,content/posts/how-to-use-recompose-to-streamline-react-development/React-recompose.jpg
Chapter_1._Preview_of_instalation.png,1280,720,921600,1048337,1023.76,.99,content/posts/building-desktop-app-with-electron/Chapter_1._Preview_of_instalation.png
Chapter_2._Dock_without_app_icon.png,901,411,370311,366162,357.58,.34,content/posts/building-desktop-app-with-electron/Chapter_2._Dock_without_app_icon.png
Chapter_2._Close_button_from_tray_window.png,1002,562,563124,663346,647.79,.63,content/posts/building-desktop-app-with-electron/Chapter_2._Close_button_from_tray_window.png
building-desktop-app-with-electron.jpg,1920,1280,2457600,744589,727.13,.71,content/posts/building-desktop-app-with-electron/building-desktop-app-with-electron.jpg
Chapter_4._Notification.png,1280,720,921600,944821,922.67,.90,content/posts/building-desktop-app-with-electron/Chapter_4._Notification.png
Chapter_1._Structure_of_the_project.png,198,383,75834,13364,13.05,.01,content/posts/building-desktop-app-with-electron/Chapter_1._Structure_of_the_project.png
Self_storage_management_software.jpg,970,750,727500,127923,124.92,.12,content/posts/integrating-self-storage-services-in-web-software/Self_storage_management_software.jpg
self-storage-management.jpg,1604,968,1552672,996888,973.52,.95,content/posts/integrating-self-storage-services-in-web-software/self-storage-management.jpg
storage_software.jpg,1000,837,837000,200827,196.12,.19,content/posts/integrating-self-storage-services-in-web-software/storage_software.jpg
Self_storage_software.jpg,1000,1395,1395000,240784,235.14,.22,content/posts/integrating-self-storage-services-in-web-software/Self_storage_software.jpg
doctor-looking-information-database.jpg,1000,667,667000,36547,35.69,.03,content/posts/how-to-develop-a-professional-medical-app-for-doctors/doctor-looking-information-database.jpg
stethoscope-prescription-laptop.jpg,1000,667,667000,109747,107.17,.10,content/posts/how-to-develop-a-professional-medical-app-for-doctors/stethoscope-prescription-laptop.jpg
doctor-with-digital-tablet.jpg,1000,667,667000,40899,39.94,.03,content/posts/how-to-develop-a-professional-medical-app-for-doctors/doctor-with-digital-tablet.jpg
mdcalc.png,506,408,206448,18947,18.50,.01,content/posts/how-to-develop-a-professional-medical-app-for-doctors/mdcalc.png
medium-shot-doctors-work-with-tablet.jpg,1000,667,667000,66696,65.13,.06,content/posts/how-to-develop-a-professional-medical-app-for-doctors/medium-shot-doctors-work-with-tablet.jpg
Name_Mesh.png,1158,424,490992,23996,23.43,.02,content/posts/7-popular-business-name-generators/Name_Mesh.png
Wordlab.png,1159,471,545889,33603,32.81,.03,content/posts/7-popular-business-name-generators/Wordlab.png
Panabee.png,1151,466,536366,567990,554.67,.54,content/posts/7-popular-business-name-generators/Panabee.png
BizNameWiz.png,1152,560,645120,466712,455.77,.44,content/posts/7-popular-business-name-generators/BizNameWiz.png
Dot-o-mator.png,1168,549,641232,37517,36.63,.03,content/posts/7-popular-business-name-generators/Dot-o-mator.png
Anadea_BNG.png,1491,560,834960,366995,358.39,.34,content/posts/7-popular-business-name-generators/Anadea_BNG.png
Names4Brands.png,1430,718,1026740,60390,58.97,.05,content/posts/7-popular-business-name-generators/Names4Brands.png
naming.jpg,1280,778,995840,549510,536.63,.52,content/posts/7-popular-business-name-generators/naming.jpg
ios_android_porting.jpg,1200,735,882000,984646,961.56,.93,content/posts/why-you-should-port-your-android-app-to-ios-or-vice-versa/ios_android_porting.jpg
amazon-and-microsoft-stay-ahead-in-global-cloud-market-6-.png,3600,2706,9741600,277108,270.61,.26,content/posts/insurtech-solutions-how-ai-powered-automation-changes-the-industry/amazon-and-microsoft-stay-ahead-in-global-cloud-market-6-.png
female-hand-holds-miniature-umbrella.jpg,5760,3840,22118400,7871128,7686.64,7.50,content/posts/insurtech-solutions-how-ai-powered-automation-changes-the-industry/female-hand-holds-miniature-umbrella.jpg
amazon-and-microsoft-stay-ahead-in-global-cloud-market-4-.png,3600,3447,12409200,467040,456.09,.44,content/posts/insurtech-solutions-how-ai-powered-automation-changes-the-industry/amazon-and-microsoft-stay-ahead-in-global-cloud-market-4-.png
amazon-and-microsoft-stay-ahead-in-global-cloud-market-5-.png,3600,2580,9288000,201624,196.89,.19,content/posts/insurtech-solutions-how-ai-powered-automation-changes-the-industry/amazon-and-microsoft-stay-ahead-in-global-cloud-market-5-.png
Sensor-Tower-Q1-2021-Data-Digest.png,1000,871,871000,26239,25.62,.02,content/posts/how-to-develop-sports-app/Sensor-Tower-Q1-2021-Data-Digest.png
sports-apps.jpg,1200,800,960000,95052,92.82,.09,content/posts/how-to-develop-sports-app/sports-apps.jpg
custom-app-dev-vs-app-builders.png,1000,1249,1249000,96685,94.41,.09,content/posts/how-to-develop-sports-app/custom-app-dev-vs-app-builders.png
sports-report-app-store-rev-growth-forecast.jpg,1000,803,803000,98079,95.78,.09,content/posts/how-to-develop-sports-app/sports-report-app-store-rev-growth-forecast.jpg
type-comparative-table-2.png,1000,1353,1353000,107248,104.73,.10,content/posts/how-to-develop-sports-app/type-comparative-table-2.png
sports-report-google-play-rev-forecast.jpg,1000,803,803000,56763,55.43,.05,content/posts/how-to-develop-sports-app/sports-report-google-play-rev-forecast.jpg
vaccination.jpg,1000,667,667000,47581,46.46,.04,content/posts/the-future-of-health-innovative-trends-in-medical-software-development-2019/vaccination.jpg
trends_header.jpg,1200,628,753600,334820,326.97,.31,content/posts/the-future-of-health-innovative-trends-in-medical-software-development-2019/trends_header.jpg
measurement.jpg,1000,667,667000,54461,53.18,.05,content/posts/the-future-of-health-innovative-trends-in-medical-software-development-2019/measurement.jpg
vr.jpg,1000,694,694000,39891,38.95,.03,content/posts/the-future-of-health-innovative-trends-in-medical-software-development-2019/vr.jpg
medications.jpg,1000,667,667000,62572,61.10,.05,content/posts/the-future-of-health-innovative-trends-in-medical-software-development-2019/medications.jpg
trends.jpg,1200,628,753600,319144,311.66,.30,content/posts/the-future-of-health-innovative-trends-in-medical-software-development-2019/trends.jpg
Gamification_Learning_Platform_Features.png,1800,1664,2995200,78750,76.90,.07,content/posts/gamification-in-e-learning/Gamification_Learning_Platform_Features.png
sporcle.png,1500,714,1071000,338378,330.44,.32,content/posts/gamification-in-e-learning/sporcle.png
gamified_learning_socials.png,1200,628,753600,345144,337.05,.32,content/posts/gamification-in-e-learning/gamified_learning_socials.png
AI_Features_for_eLearning.png,1800,1473,2651400,187575,183.17,.17,content/posts/gamification-in-e-learning/AI_Features_for_eLearning.png
duolingo.png,1959,994,1947246,518044,505.90,.49,content/posts/gamification-in-e-learning/duolingo.png
gamified_learning.png,1200,628,753600,359659,351.22,.34,content/posts/gamification-in-e-learning/gamified_learning.png
stav_online.png,1706,981,1673586,67755,66.16,.06,content/posts/gamification-in-e-learning/stav_online.png
Gamification__Beyond_eLearning.png,1800,2511,4519800,608325,594.06,.58,content/posts/gamification-in-e-learning/Gamification__Beyond_eLearning.png
sports_booking_socials.jpg,1200,628,753600,196602,191.99,.18,content/posts/sports-booking-software-is-it-a-good-business-idea/sports_booking_socials.jpg
sports_booking.jpg,1200,628,753600,189507,185.06,.18,content/posts/sports-booking-software-is-it-a-good-business-idea/sports_booking.jpg
essential_features_of_sports_booking_software.jpg,1800,2322,4179600,617440,602.96,.58,content/posts/sports-booking-software-is-it-a-good-business-idea/essential_features_of_sports_booking_software.jpg
step-by-step_process_of_software_development.jpg,1800,1554,2797200,182789,178.50,.17,content/posts/sports-booking-software-is-it-a-good-business-idea/step-by-step_process_of_software_development.jpg
bing_app.png,1477,642,948234,728609,711.53,.69,content/posts/gpt-4-use-cases/bing_app.png
GPT_vs._ChatGPT__The_Difference.png,1800,1475,2655000,201446,196.72,.19,content/posts/gpt-4-use-cases/GPT_vs._ChatGPT__The_Difference.png
GPT-4_Use_Cases_for_Business.png,1800,2688,4838400,874270,853.77,.83,content/posts/gpt-4-use-cases/GPT-4_Use_Cases_for_Business.png
islandic.png,1120,975,1092000,69481,67.85,.06,content/posts/gpt-4-use-cases/islandic.png
gpt-4.png,1200,628,753600,891949,871.04,.85,content/posts/gpt-4-use-cases/gpt-4.png
be_my_eyes_app.png,1300,664,863200,512990,500.96,.48,content/posts/gpt-4-use-cases/be_my_eyes_app.png
ChatGPT___GPT-4_Relationship.png,1800,1197,2154600,411983,402.32,.39,content/posts/gpt-4-use-cases/ChatGPT___GPT-4_Relationship.png
gpt-4-socials.png,1200,628,753600,773892,755.75,.73,content/posts/gpt-4-use-cases/gpt-4-socials.png
Anadea-Dnepr-closer.png,640,640,409600,58257,56.89,.05,content/posts/how-to-integrate-google-maps-into-ruby-on-rails-app/Anadea-Dnepr-closer.png
Anadea-Dnepr.png,640,640,409600,70839,69.17,.06,content/posts/how-to-integrate-google-maps-into-ruby-on-rails-app/Anadea-Dnepr.png
Google_maps.jpg,1280,784,1003520,190568,186.10,.18,content/posts/how-to-integrate-google-maps-into-ruby-on-rails-app/Google_maps.jpg
Anadea-Dnepr-streetview.jpg,640,640,409600,58088,56.72,.05,content/posts/how-to-integrate-google-maps-into-ruby-on-rails-app/Anadea-Dnepr-streetview.jpg
Financial-App.png,800,600,480000,181982,177.71,.17,content/posts/how-to-build-a-personal-finance-app/Financial-App.png
fantasy-football-field.png,1152,768,884736,352049,343.79,.33,content/posts/how-to-make-a-fantasy-sports-app/fantasy-football-field.png
fantasy_sports_socials.png,1200,628,753600,903185,882.01,.86,content/posts/how-to-make-a-fantasy-sports-app/fantasy_sports_socials.png
fantasy-football.png,1152,768,884736,294879,287.96,.28,content/posts/how-to-make-a-fantasy-sports-app/fantasy-football.png
fantasy_sports.jpg,1200,628,753600,116536,113.80,.11,content/posts/how-to-make-a-fantasy-sports-app/fantasy_sports.jpg
fantasy-sports.png,1152,768,884736,337098,329.19,.32,content/posts/how-to-make-a-fantasy-sports-app/fantasy-sports.png
prediction-analytics.jpg,800,267,213600,81207,79.30,.07,content/posts/predictive-analytics-in-education/prediction-analytics.jpg
Predictive-analytics-in-education.jpg,1200,739,886800,723264,706.31,.68,content/posts/predictive-analytics-in-education/Predictive-analytics-in-education.jpg
programming.jpg,1000,614,614000,338997,331.05,.32,content/posts/scala-implicits/programming.jpg
Cloud_Cost__Optimization_Best_Practices.png,1482,2240,3319680,544386,531.62,.51,content/posts/cloud-cost-optimization/Cloud_Cost__Optimization_Best_Practices.png
225669166_4b797808-fce0-4bf9-84b9-8f1e331d415f.jpg,6001,4001,24010001,685811,669.73,.65,content/posts/cloud-cost-optimization/225669166_4b797808-fce0-4bf9-84b9-8f1e331d415f.jpg
cloud_cost_optimization.png,1200,628,753600,421259,411.38,.40,content/posts/cloud-cost-optimization/cloud_cost_optimization.png
Cloud_Cost__Management_vs_Optimization.png,1482,2240,3319680,647305,632.13,.61,content/posts/cloud-cost-optimization/Cloud_Cost__Management_vs_Optimization.png
Cloud_Cost__Optimization_Workflow.png,1708,2240,3825920,734899,717.67,.70,content/posts/cloud-cost-optimization/Cloud_Cost__Optimization_Workflow.png
cloud_cost_optimization_socials.png,1200,628,753600,369899,361.22,.35,content/posts/cloud-cost-optimization/cloud_cost_optimization_socials.png
real_estate_crm.jpg,1200,628,753600,384440,375.42,.36,content/posts/how-to-build-a-real-estate-crm/real_estate_crm.jpg
real_estate_crm.png,1664,3046,5068544,434630,424.44,.41,content/posts/how-to-build-a-real-estate-crm/real_estate_crm.png
real_estate_crm_features.png,1664,3070,5108480,174628,170.53,.16,content/posts/how-to-build-a-real-estate-crm/real_estate_crm_features.png
revenue.png,1555,956,1486580,63764,62.26,.06,content/posts/how-to-build-a-real-estate-crm/revenue.png
sharks.jpg,1200,628,753600,73713,71.98,.07,content/posts/three-js-library/sharks.jpg
explain_these_bad_grades.jpg,1171,589,689719,90455,88.33,.08,content/posts/how-digital-technology-has-changed-modern-education/explain_these_bad_grades.jpg
teacher_and_mother.jpg,940,627,589380,60571,59.15,.05,content/posts/how-digital-technology-has-changed-modern-education/teacher_and_mother.jpg
elephants.jpg,1199,628,752972,75126,73.36,.07,content/posts/how-digital-technology-has-changed-modern-education/elephants.jpg
outsource-vs-crowdsource.jpg,960,655,628800,132982,129.86,.12,content/posts/software-qa-testing-outsourcing-vs-crowdsourcing/outsource-vs-crowdsource.jpg
Hospital-management-software-benefits.jpg,1000,668,668000,244037,238.31,.23,content/posts/how-project-management-software-helps-to-increase-productivity-in-healthcare/Hospital-management-software-benefits.jpg
Project-management-software-in-healthcare.jpg,1170,632,739440,463669,452.80,.44,content/posts/how-project-management-software-helps-to-increase-productivity-in-healthcare/Project-management-software-in-healthcare.jpg
Proliferation-of-technology-in-healthcare.jpg,1000,531,531000,123199,120.31,.11,content/posts/how-project-management-software-helps-to-increase-productivity-in-healthcare/Proliferation-of-technology-in-healthcare.jpg
Hospital-management-software_benefits.jpg,1200,668,801600,251279,245.38,.23,content/posts/how-project-management-software-helps-to-increase-productivity-in-healthcare/Hospital-management-software_benefits.jpg
Healthcare-it-market-opportunities.jpg,1000,532,532000,260734,254.62,.24,content/posts/how-project-management-software-helps-to-increase-productivity-in-healthcare/Healthcare-it-market-opportunities.jpg
Global-healthcare-enterprise-software-market-by-region.jpg,1000,497,497000,108902,106.34,.10,content/posts/how-project-management-software-helps-to-increase-productivity-in-healthcare/Global-healthcare-enterprise-software-market-by-region.jpg
ab-test-testing.jpg,1200,675,810000,112717,110.07,.10,content/posts/how-effective-ab-testing-helps-to-build-a-cool-real-estate-app/ab-test-testing.jpg
digital_twins_socials.png,1200,628,753600,616046,601.60,.58,content/posts/digital-twins-in-oil-and-gas/digital_twins_socials.png
digital_twins_cost_efficiency_improvements.png,1343,1632,2191776,2642197,2580.27,2.51,content/posts/digital-twins-in-oil-and-gas/digital_twins_cost_efficiency_improvements.png
digital_twins_ai_use_cases.png,1464,2102,3077328,2430167,2373.20,2.31,content/posts/digital-twins-in-oil-and-gas/digital_twins_ai_use_cases.png
digital_twins.png,1200,628,753600,614091,599.69,.58,content/posts/digital-twins-in-oil-and-gas/digital_twins.png
digital_twins_use_cases.png,1011,1680,1698480,1652982,1614.24,1.57,content/posts/digital-twins-in-oil-and-gas/digital_twins_use_cases.png
Global_Digital_Twin_Market_Share.png,1706,974,1661644,65257,63.72,.06,content/posts/digital-twins-in-oil-and-gas/Global_Digital_Twin_Market_Share.png
How_to_build_a_digital_twin.png,1298,1577,2046946,2423450,2366.65,2.31,content/posts/digital-twins-in-oil-and-gas/How_to_build_a_digital_twin.png
digital_twins_key_insights.png,1149,1287,1478763,1832534,1789.58,1.74,content/posts/digital-twins-in-oil-and-gas/digital_twins_key_insights.png
sports_apps.jpg,1656,1086,1798416,176532,172.39,.16,content/posts/sports-apps-turn-your-phone-into-a-personal-coach/sports_apps.jpg
custom_development.jpg,1000,647,647000,101779,99.39,.09,content/posts/craft-vs-mass-production-vivid-advantages-of-custom-software-development/custom_development.jpg
ai-agent-use-by-business-function-1-.png,2400,2700,6480000,202073,197.33,.19,content/posts/how-to-create-an-ai-agent-techniques-and-best-practices/ai-agent-use-by-business-function-1-.png
cyborg-robot-hand-uniform-3d-rendering.jpg,7950,3741,29740950,5913560,5774.96,5.63,content/posts/how-to-create-an-ai-agent-techniques-and-best-practices/cyborg-robot-hand-uniform-3d-rendering.jpg
ai-agent-use-by-business-function.png,2400,2500,6000000,173996,169.91,.16,content/posts/how-to-create-an-ai-agent-techniques-and-best-practices/ai-agent-use-by-business-function.png
growth-in-telehealth-usage-3-.png,2400,1806,4334400,63296,61.81,.06,content/posts/how-to-create-an-ai-agent-techniques-and-best-practices/growth-in-telehealth-usage-3-.png
8.jpg,400,113,45200,37491,36.61,.03,content/posts/edtech-insights-improving-students-performance-with-push-notifications/8.jpg
9.jpg,400,110,44000,32571,31.80,.03,content/posts/edtech-insights-improving-students-performance-with-push-notifications/9.jpg
12.jpg,400,112,44800,35390,34.56,.03,content/posts/edtech-insights-improving-students-performance-with-push-notifications/12.jpg
11.jpg,400,99,39600,26753,26.12,.02,content/posts/edtech-insights-improving-students-performance-with-push-notifications/11.jpg
10.jpg,400,127,50800,43025,42.01,.04,content/posts/edtech-insights-improving-students-performance-with-push-notifications/10.jpg
e-learning.jpg,1200,716,859200,477329,466.14,.45,content/posts/edtech-insights-improving-students-performance-with-push-notifications/e-learning.jpg
4.jpg,750,436,327000,53173,51.92,.05,content/posts/edtech-insights-improving-students-performance-with-push-notifications/4.jpg
5.jpg,400,100,40000,25191,24.60,.02,content/posts/edtech-insights-improving-students-performance-with-push-notifications/5.jpg
7.jpg,400,111,44400,32046,31.29,.03,content/posts/edtech-insights-improving-students-performance-with-push-notifications/7.jpg
6.jpg,400,99,39600,30941,30.21,.02,content/posts/edtech-insights-improving-students-performance-with-push-notifications/6.jpg
2.jpg,400,115,46000,32577,31.81,.03,content/posts/edtech-insights-improving-students-performance-with-push-notifications/2.jpg
3.jpg,400,144,57600,27385,26.74,.02,content/posts/edtech-insights-improving-students-performance-with-push-notifications/3.jpg
1.jpg,750,202,151500,43338,42.32,.04,content/posts/edtech-insights-improving-students-performance-with-push-notifications/1.jpg
real_estate.jpg,1500,920,1380000,923701,902.05,.88,content/posts/what-is-the-future-of-the-real-estate-software-industry/real_estate.jpg
Real-estate-tech-trends.png,2000,5380,10760000,667925,652.27,.63,content/posts/what-is-the-future-of-the-real-estate-software-industry/Real-estate-tech-trends.png
Real-estate-tech-trends-cover.png,2292,1146,2626632,166736,162.82,.15,content/posts/what-is-the-future-of-the-real-estate-software-industry/Real-estate-tech-trends-cover.png
benefits-of-ai for-esg-investing_.png,3600,2462,8863200,196096,191.50,.18,content/posts/ai-and-esg-how-technology-is-powering-investments-in-a-sustainable-future/benefits-of-ai for-esg-investing_.png
abstract-green-striped-nature-background.jpg,5246,2951,15480946,18027404,17604.88,17.19,content/posts/ai-and-esg-how-technology-is-powering-investments-in-a-sustainable-future/abstract-green-striped-nature-background.jpg
ai-use-cases in-esg-monitoring.png,3600,2769,9968400,306456,299.27,.29,content/posts/ai-and-esg-how-technology-is-powering-investments-in-a-sustainable-future/ai-use-cases in-esg-monitoring.png
doctor-s-hands-medicine-with-mobile-phone-medical-concept.jpg,5490,3132,17194680,6273315,6126.28,5.98,content/posts/chatbots-in-healthcare-industry-a-new-remedy-for-old-problems/doctor-s-hands-medicine-with-mobile-phone-medical-concept.jpg
chatbots-in-healthcare.jpg,750,433,324750,41680,40.70,.03,content/posts/chatbots-in-healthcare-industry-a-new-remedy-for-old-problems/chatbots-in-healthcare.jpg
Ada.png,750,358,268500,76853,75.05,.07,content/posts/chatbots-in-healthcare-industry-a-new-remedy-for-old-problems/Ada.png
chatbot-healthcare.jpg,1200,796,955200,123224,120.33,.11,content/posts/chatbots-in-healthcare-industry-a-new-remedy-for-old-problems/chatbot-healthcare.jpg
Melody.png,750,408,306000,120285,117.46,.11,content/posts/chatbots-in-healthcare-industry-a-new-remedy-for-old-problems/Melody.png
Babylon.png,750,422,316500,70942,69.27,.06,content/posts/chatbots-in-healthcare-industry-a-new-remedy-for-old-problems/Babylon.png
social-networking-app-market-2025-–-2034-usd-billion-.png,3600,3819,13748400,1554771,1518.33,1.48,content/posts/how-to-create-a-social-media-app-and-win-the-hearts-of-users/social-networking-app-market-2025-–-2034-usd-billion-.png
cropped-image-friends-using-phones-while-sitting-outdoors.jpg,4896,3264,15980544,5017058,4899.47,4.78,content/posts/how-to-create-a-social-media-app-and-win-the-hearts-of-users/cropped-image-friends-using-phones-while-sitting-outdoors.jpg
main-reasons-for-using social-media.png,2400,3342,8020800,264869,258.66,.25,content/posts/how-to-create-a-social-media-app-and-win-the-hearts-of-users/main-reasons-for-using social-media.png
source_-www.velawood.com.png,2400,2508,6019200,335233,327.37,.31,content/posts/gewhg/source_-www.velawood.com.png
types-of-fantasy-cricket-apps.png,2400,1712,4108800,209313,204.40,.19,content/posts/gewhg/types-of-fantasy-cricket-apps.png
